adventure
art
away
awesome
band
bar
bar friends
bars
bed
beer
best
big
bike
board
book
bottle
busy
catching
checking
chill
chilling
city
class
club
clubs
company
concert
cooking
cooking dinner
couch
crazy
curled
dance
dancing
date
day
days
depends
different
dinner
dinner drinks
dinner friends
dinner party
dive
dive bar
dog
doing
drink
drinking
drinking wine
drinks
drinks friends
driving
early
easy
eat
eating
end
enjoy
enjoying
evening
event
exploring
family
favorite
feel
food
friday
friday night
friday nights
fridays
friend
friend's
friends
friends bar
friends dinner
friends going
friends having
friends home
friends watching
fun
game
games
getting
girls
glass
glass wine
going
going dinner
going friends
good
good book
good food
good movie
good time
grabbing
great
gym
hang
hanging
hanging friends
happy
happy hour
hard
having
having dinner
having drinks
having fun
heading
home
home watching
hopefully
hour
hour friends
house
just
know
late
lately
laughing
life
like
likely
listening
little
live
live music
local
long
long week
looking
lot
love
low
make
making
making dinner
meal
meeting
meeting friends
mission
mood
morning
movie
movies
music
netflix
new
new restaurant
nice
night
nights
occasionally
old
parties
party
partying
people
places
play
playing
pool
possibly
pretty
quiet
random
reading
reading book
ready
really
recovering
relax
relaxing
relaxing home
restaurant
restaurants
right
saturday
say
seeing
shows
sitting
sleep
sleeping
social
spend
spending
spending time
stay
staying
studying
tahoe
taking
that's
thing
things
think
time
time friends
times
town
trip
try
trying
trying new
tv
typical
typical friday
typically
unwinding
usually
varies
video
video games
want
watch
watch movie
watching
watching movie
watching movies
way
week
weekend
weekends
wine
work
work week
working
world
writing
yoga
