ability
accent
age
answer
apparently
asian
ask
asked
ass
attention
attitude
away
awesome
bad
beard
beautiful
better
big
big smile
bit
black
blonde
blue
blue eyes
body
boobs
bright
brown
charm
charming
clothes
color
come
comfortable
comment
comments
conversation
cool
crazy
curly
curly hair
cute
dark
day
deep
definitely
demeanor
depending
depends
did
different
dimples
dont
dress
easily
easy
easy going
easy talk
energy
enjoy
ethnicity
eye
eyebrows
eyelashes
eyes
eyes smile
face
facial
fact
feel
figure
freckles
friend
friendly
friends
fun
funny
generally
genuine
girl
glasses
going
good
good looks
goofy
great
green
green eyes
guess
guy
haha
hair
hair eyes
hair smile
hands
handsome
happy
hard
head
hear
heard
heels
height
high
honest
hope
humor
idea
infectious
just
kind
kinda
know
laugh
laugh lot
laughing
legs
let
life
light
like
likely
lips
little
lol
long
look
look like
looking
looks
lot
loud
love
make
making
man
mean
meet
met
nature
need
new
nice
nose
notice
notice smile
noticed
old
open
outgoing
people
people comment
people notice
people say
people tell
people think
people usually
person
personality
petite
physically
positive
presence
pretty
question
quiet
quite
random
real
really
recently
red
red hair
right
said
sarcasm
sarcastic
say
says
sense
sense humor
seriously
shoes
short
shy
skin
small
smart
smile
smile eyes
smile laugh
smile lot
smiling
speak
strangers
style
super
suppose
sure
sweet
talk
talking
tall
tattoos
teeth
tell
that's
they're
thing
thing people
things
think
thought
time
times
told
try
trying
usually
usually notice
voice
walk
want
warm
warmth
way
wear
wearing
weird
white
wit
work
years
yes
you'll
young
younger
